bot,position,pool,pair,created_at_utc,closed_at_utc,deposit_sol,withdrawal_sol,fee_sol,pnl_sol,pnl_usd,mode,strategy,event,exit_reason,peak_pnl_pct,hold_minutes,ai_holds,bin_width
azimuth,4JZrpxhTVCxQNSyjhRhx1nQnsohD2gPJ6HAgJHhti4iv,5QpDQ6ddkv1ArytJQ991kh8doeXPrt9hHFWK2HmEToDm,FRIES-SOL,2026-09-05T16:13:44+00:00,2026-09-05T16:43:59+00:00,0.159999977,0.159994448,0.000004800999999999992,-0.0000007279999999776354,0.035954210729663316,pulse,sol_bidask,exit,Low yield (Fee/TVL 24h: 0.14% < 5.0% after 30.1m),0.4139,30.25,0,44
azimuth,GEHHuAqdqDaQbBPmmoJgGjy97YkovLFUp8nVFkuwhj9s,8LZK8W9Pp6GrMKCoTALS3AZ6eAX62uKv8bHPY57iXZkL,OTC-SOL,2026-09-05T14:53:45+00:00,2026-09-05T17:08:07+00:00,0.329999978,0.3286072379291132,0.006073474581515564,0.004680734510628781,0.71318045327628,turnover,sol_bidask,exit,"Fast-out dump exit (5m -4.0% <= -3.0% with PnL +2.05%, peak +2.18%) — realizing before floor gap-through",2.1848,134.36666666666667,0,44
azimuth,AQbdtzwJaTXinNuwtW5LPfVVTSTBvbf8TW3DaeozegYm,ESFRBnw6arbADgvjw9PpSsEFq9gS8TkM1ZXGnKo2ZVKQ,REDACTED-SOL,2026-09-05T17:20:17+00:00,2026-09-05T17:21:59+00:00,0.15729607099998397,0.1586695158477114,0.0009521684842243418,0.0023256133319517758,0.242485466529331,turnover,balanced_tight,exit,"Trailing Take-Profit hit (Peak: 1.75%, Current: -0.15% <= ratchet floor 1.15%)",1.7507,1.7,0,26
azimuth,9x7sxr9u7Jq2qtWG99kYm8PZskPAowpBq8F6cLA8gXge,8LZK8W9Pp6GrMKCoTALS3AZ6eAX62uKv8bHPY57iXZkL,OTC-SOL,2026-09-05T17:09:23+00:00,2026-09-05T17:25:43+00:00,0.32999999100000005,0.32997025299999994,0.00031379834548701953,0.00028406034548689174,0.1008805964367454,turnover,spot,exit,Out of Range for 5.2m (limit 5m),0.2458,16.333333333333332,0,20
azimuth,AeefH74rdmmau7L8KNo3nxaPWwhfD8JcR8kyZtdfvRZ4,3T6pPCvChxMWvGavkyNSFN7UyiMeUwV3NbHHTybPogFC,BUTTHOLE-SOL,2026-09-05T17:35:03+00:00,2026-09-05T17:46:08+00:00,0.2969922384968603,0.2899544470755565,0.0004272435136477053,-0.006610547907656084,-0.7835711380256178,turnover,balanced_tight,exit,"Downtrend dump, unconfirmed (PnL -3.60% <= -2.5%, no 1h confirmation) — exit before the SL floor",1.0364,11.083333333333334,0,20
azimuth,4Qzdm7zHrT33c7NbH7RCjJhffzgZnym9JSUWe51raKNr,8LZK8W9Pp6GrMKCoTALS3AZ6eAX62uKv8bHPY57iXZkL,OTC-SOL,2026-09-05T17:25:57+00:00,2026-09-05T19:26:17+00:00,0.329970242,0.3237199009729734,0.0033334273306318742,-0.002916913696394796,-0.3177391018716449,turnover,turnover_rebalance,exit,"Stale ticket re-pin (121m in range, peak +0.94% never armed the 1.2% ratchet, fee/TVL 12.2%)",0.939,120.33333333333333,0,20
azimuth,FUYKCgWghkNp6RhsEaBRDAw2RCwqw5J2cb4Bm325GaDn,GsEvAZbjtshQJ1hZEybw5ot2t5PqZqgUpCEXojuRTH1F,nub-SOL,2026-09-05T19:08:32+00:00,2026-09-05T19:38:51+00:00,0.149999978,0.14997057879653514,0.00009442356520103086,0.00006502436173616566,-0.025696506372065997,pulse,sol_bidask,exit,Low yield (Fee/TVL 24h: 2.95% < 5.0% after 30.0m),0.1568,30.316666666666666,0,44
azimuth,7G31RU5ALFjTngF7W8qELuaXtBsNXg5gQXNYWUHCqGsS,3T6pPCvChxMWvGavkyNSFN7UyiMeUwV3NbHHTybPogFC,BUTTHOLE-SOL,2026-09-05T20:00:47+00:00,2026-09-05T20:31:08+00:00,0.319999977,0.319991875,0.000007105999999999998,-0.000000996000000030861,-0.05159003800645934,pulse,sol_bidask,exit,Low yield (Fee/TVL 24h: 0.11% < 5.0% after 30.2m),0.0899,30.35,1,44
azimuth,7qHbkFfP5Yu5F3fZk3CkhDpcWYYKS3nxZJErJBW7aQtF,54sbyULrreD9HBoV5wRWedeCBEw6gQ7VkdHW18rLX78e,CTO-SOL,2026-09-05T23:09:39+00:00,2026-09-06T00:24:15+00:00,0.319999977,0.316653881804241,0.006255971156536026,0.0029098759607770197,0.3333790279617048,pulse,sol_bidask,exit,"Trailing Take-Profit hit (Peak: 1.37%, Current: 0.59% <= ratchet floor 0.77%)",1.367,74.6,0,44
azimuth,C27qHUF7HWpmcsdaXX1GKcczQX3yUKPTYHRcr9xsNQsF,5Vo1BAJ888m3Mn5dVxLNXtCkdmxVN6RDNDocMHM75yG,FROGE-SOL,2026-09-06T00:23:37+00:00,2026-09-06T00:54:40+00:00,0.149999978,0.149999777,0.00003230660995924897,0.000032105609959254267,-0.002796578586595544,pulse,sol_bidask,exit,Low yield (Fee/TVL 24h: 1.00% < 5.0% after 30.2m),0.1563,31.05,0,44
